Name,Key,Jira Link
Accuris,ACC,https://workstation-df.atlassian.net/browse/ACC
ACE,ARS,https://workstation-df.atlassian.net/browse/ARS
Aclate Ops,ACLTOPS,https://workstation-df.atlassian.net/browse/ACLTOPS
ACRM Professional Services,UPS,https://workstation-df.atlassian.net/browse/UPS
AI-AGemni,AGEMNI,https://workstation-df.atlassian.net/browse/AGEMNI
Alpha Support,ALPHA,https://workstation-df.atlassian.net/browse/ALPHA
AnswerHub Engineering,AHENG,https://workstation-df.atlassian.net/browse/AHENG
AppManager development,APPMANAGER,https://workstation-df.atlassian.net/browse/APPMANAGER
Arch-as-Code AU,AU,https://workstation-df.atlassian.net/browse/AU
ARSPS,ARSPS,https://workstation-df.atlassian.net/browse/ARSPS
Artemis 7,ART7CID,https://workstation-df.atlassian.net/browse/ART7CID
Artemis 9000 Customer Issues Database,ART9KCID,https://workstation-df.atlassian.net/browse/ART9KCID
Artemis Consulting Customer Issues Database,ARTEXTCID,https://workstation-df.atlassian.net/browse/ARTEXTCID
Artemis Views Customer Issues Database,VIEWSCID,https://workstation-df.atlassian.net/browse/VIEWSCID
Aurea Operations,AUOPS,https://workstation-df.atlassian.net/browse/AUOPS
Aurea Retail BU,ARBU,https://workstation-df.atlassian.net/browse/ARBU
Aurea Solutions,AS,https://workstation-df.atlassian.net/browse/AS
Aurea Technical Account Management,ATAM,https://workstation-df.atlassian.net/browse/ATAM
AUREASPECS,AUREASPECS,https://workstation-df.atlassian.net/browse/AUREASPECS
Auto-Trol Customer Issues Database,ATCID,https://workstation-df.atlassian.net/browse/ATCID
Avolin Product Specialist,APS,https://workstation-df.atlassian.net/browse/APS
Avolin Professional Service,AVPS,https://workstation-df.atlassian.net/browse/AVPS
Avolin Protect,AVPROTECT,https://workstation-df.atlassian.net/browse/AVPROTECT
BRMS & PLE,BRMSCID,https://workstation-df.atlassian.net/browse/BRMSCID
BroadVision 8,BV8,https://workstation-df.atlassian.net/browse/BV8
Call Stream,CALLSTRM,https://workstation-df.atlassian.net/browse/CALLSTRM
Central Finance,CFIN,https://workstation-df.atlassian.net/browse/CFIN
Central Product,CENPRO,https://workstation-df.atlassian.net/browse/CENPRO
Central Renewals,CRENEWALS,https://workstation-df.atlassian.net/browse/CRENEWALS
Computron,COMP,https://workstation-df.atlassian.net/browse/COMP
Computron Clients,COMPCL,https://workstation-df.atlassian.net/browse/COMPCL
CopperTree Product Enhancement and Feature Requests,CTPEF,https://workstation-df.atlassian.net/browse/CTPEF
Corizon,CORIZONCID,https://workstation-df.atlassian.net/browse/CORIZONCID
CS-L4,CSL4,https://workstation-df.atlassian.net/browse/CSL4
CSAI,CSAI,https://workstation-df.atlassian.net/browse/CSAI
EngineYard BU Engineering,EYPPBU,https://workstation-df.atlassian.net/browse/EYPPBU
Enyi Test Project,ENYTEST,https://workstation-df.atlassian.net/browse/ENYTEST
EPM Live,EPMLCID,https://workstation-df.atlassian.net/browse/EPMLCID
Exinda BU development,EXINDADEV,https://workstation-df.atlassian.net/browse/EXINDADEV
Exinda Management Center,EXMC,https://workstation-df.atlassian.net/browse/EXMC
GENAI Initiatives,GENAI,https://workstation-df.atlassian.net/browse/GENAI
GFI Archiver BU development,ARCHIVERDEV,https://workstation-df.atlassian.net/browse/ARCHIVERDEV
GFI ContentUpdates,GFICU,https://workstation-df.atlassian.net/browse/GFICU
GFI FaxMaker BU development,FAXMAKERDEV,https://workstation-df.atlassian.net/browse/FAXMAKERDEV
GFI Feature requests,GFIPEF,https://workstation-df.atlassian.net/browse/GFIPEF
GFI HELPDESK BU Development,HELPDESKDEV,https://workstation-df.atlassian.net/browse/HELPDESKDEV
GFI LanGuard BU development,LANGUARDDEV,https://workstation-df.atlassian.net/browse/LANGUARDDEV
GFI MailEssentials BU development,MEDEV,https://workstation-df.atlassian.net/browse/MEDEV
GFI Outages escalation,OUTAGE,https://workstation-df.atlassian.net/browse/OUTAGE
GFI Product Systems,GFIPSYS,https://workstation-df.atlassian.net/browse/GFIPSYS
GFI Sales Engineers,GFISE,https://workstation-df.atlassian.net/browse/GFISE
GoMembers Enterprise,GOMENT,https://workstation-df.atlassian.net/browse/GOMENT
GoMembers OnDemand,GOMOND,https://workstation-df.atlassian.net/browse/GOMOND
GT School,GTS,https://workstation-df.atlassian.net/browse/GTS
Ignite BU Engineering,IBUENG,https://workstation-df.atlassian.net/browse/IBUENG
Ignite Gensym,GENSYMCID,https://workstation-df.atlassian.net/browse/GENSYMCID
Ignite PMO Analytics Customer Projects,IPMOMB,https://workstation-df.atlassian.net/browse/IPMOMB
Ignite PMO Consulting Services Team,IPCST,https://workstation-df.atlassian.net/browse/IPCST
Ignite PMO Data Maintenance,IPMODM,https://workstation-df.atlassian.net/browse/IPMODM
Ignite PMO Internal,IGPMOI,https://workstation-df.atlassian.net/browse/IGPMOI
IgniteTech Business Operations,IGBIZOPS,https://workstation-df.atlassian.net/browse/IGBIZOPS
IgniteTech Escalations,TEM,https://workstation-df.atlassian.net/browse/TEM
IgniteTech Operations Management,ITOM,https://workstation-df.atlassian.net/browse/ITOM
IgniteTech Product Enhancements and Feature Requests,ITPEF,https://workstation-df.atlassian.net/browse/ITPEF
IgniteTech Releases,ITREL,https://workstation-df.atlassian.net/browse/ITREL
Import AI Unlisted,IMPAIUNL,https://workstation-df.atlassian.net/browse/IMPAIUNL
Import DevCoach Eng & SaaS,IMPDEVCOA,https://workstation-df.atlassian.net/browse/IMPDEVCOA
INFINIO VAIO Filter,INFVAIOF,https://workstation-df.atlassian.net/browse/INFVAIOF
Invigorate-Linux,INLNX,https://workstation-df.atlassian.net/browse/INLNX
Jive Professional Services,JVPROFSVCS,https://workstation-df.atlassian.net/browse/JVPROFSVCS
Kandy PS,KANDYPS,https://workstation-df.atlassian.net/browse/KANDYPS
Kerio Connect BU development,CONNECTDEV,https://workstation-df.atlassian.net/browse/CONNECTDEV
Kerio Control BU development,CONTROLDEV,https://workstation-df.atlassian.net/browse/CONTROLDEV
KILN,KILN,https://workstation-df.atlassian.net/browse/KILN
KM Audience Management System,KMAMS,https://workstation-df.atlassian.net/browse/KMAMS
KM Enterprise Communication Network,KMECN,https://workstation-df.atlassian.net/browse/KMECN
Knova Legacy,KNOVLG,https://workstation-df.atlassian.net/browse/KNOVLG
LMT Invigorate Support,LMTIS,https://workstation-df.atlassian.net/browse/LMTIS
Migration: Temp Project,MTP,https://workstation-df.atlassian.net/browse/MTP
Mobilogy - MD,MOBMD,https://workstation-df.atlassian.net/browse/MOBMD
Mobilogy - Online Platform,MOBONLINE,https://workstation-df.atlassian.net/browse/MOBONLINE
Mobilogy Logistics,MOBLOG,https://workstation-df.atlassian.net/browse/MOBLOG
NewNet,NN,https://workstation-df.atlassian.net/browse/NN
Nimblevox Support,NS,https://workstation-df.atlassian.net/browse/NS
Northplains-Telescope,NORTHP,https://workstation-df.atlassian.net/browse/NORTHP
NSIBIZAPPS,NSIBA,https://workstation-df.atlassian.net/browse/NSIBA
NSIMANUSCRIPT,NSIMS,https://workstation-df.atlassian.net/browse/NSIMS
NuView HRMS,NVHCID,https://workstation-df.atlassian.net/browse/NVHCID
NuView Payroll,NVPCID,https://workstation-df.atlassian.net/browse/NVPCID
ObjectStore,OSCID,https://workstation-df.atlassian.net/browse/OSCID
OneSCM Molson,OSCMMOL,https://workstation-df.atlassian.net/browse/OSCMMOL
Onyx Mobile,ONYXMOB,https://workstation-df.atlassian.net/browse/ONYXMOB
PeopleGraph,PG,https://workstation-df.atlassian.net/browse/PG
Placeable Pages,PLCBLPGS,https://workstation-df.atlassian.net/browse/PLCBLPGS
Platinum @hand,PLHAN,https://workstation-df.atlassian.net/browse/PLHAN
Platinum-NorthPlains,PLNP,https://workstation-df.atlassian.net/browse/PLNP
Platinum-OneSpot,PLOS,https://workstation-df.atlassian.net/browse/PLOS
Platinum-SMS,PLSMS,https://workstation-df.atlassian.net/browse/PLSMS
Platinum-Symphony,PLSYM,https://workstation-df.atlassian.net/browse/PLSYM
Platinum-T3 StreetSmart,PLT3SS,https://workstation-df.atlassian.net/browse/PLT3SS
Platinum-TAKE,PLTAKE,https://workstation-df.atlassian.net/browse/PLTAKE
Postwire,POSTWIRE,https://workstation-df.atlassian.net/browse/POSTWIRE
PRICER,PRICER,https://workstation-df.atlassian.net/browse/PRICER
PS Installs and Upgrades,PSIN,https://workstation-df.atlassian.net/browse/PSIN
PurchasingNet Customer Issues Database,PNCID,https://workstation-df.atlassian.net/browse/PNCID
Quantum Retail,QRETAIL,https://workstation-df.atlassian.net/browse/QRETAIL
RADAR development,RADAR,https://workstation-df.atlassian.net/browse/RADAR
Right90,RNNTY,https://workstation-df.atlassian.net/browse/RNNTY
Security,SEC,https://workstation-df.atlassian.net/browse/SEC
Skyvera Operations,SKYOPS,https://workstation-df.atlassian.net/browse/SKYOPS
Skyvera Professional Services,SVPS,https://workstation-df.atlassian.net/browse/SVPS
Skyvera Sales,SKYSALES,https://workstation-df.atlassian.net/browse/SKYSALES
Sli-Systems Analytics and Operations,SLIAO,https://workstation-df.atlassian.net/browse/SLIAO
Sli-Systems Front End,SLIFRONT,https://workstation-df.atlassian.net/browse/SLIFRONT
Sli-Systems Search and Indexing,SLISEARCH,https://workstation-df.atlassian.net/browse/SLISEARCH
SmartRoutines,SVSRAT,https://workstation-df.atlassian.net/browse/SVSRAT
SMB BizOps,SMBBIZOPS,https://workstation-df.atlassian.net/browse/SMBBIZOPS
SMS Masterminds,SMSM,https://workstation-df.atlassian.net/browse/SMSM
Spiral,SPRL,https://workstation-df.atlassian.net/browse/SPRL
Spiral Professional Services,SPRLPS,https://workstation-df.atlassian.net/browse/SPRLPS
Sunset,ITSUNSET,https://workstation-df.atlassian.net/browse/ITSUNSET
Synoptos Nucleus,NUCLEUS,https://workstation-df.atlassian.net/browse/NUCLEUS
TCP Analytics,TCPA,https://workstation-df.atlassian.net/browse/TCPA
Technical Content Management,TCM,https://workstation-df.atlassian.net/browse/TCM
Tenfold,TFCID,https://workstation-df.atlassian.net/browse/TFCID
Test for Jira Development,TFJD,https://workstation-df.atlassian.net/browse/TFJD
Think3_Agemni,THIN3AGEMNI,https://workstation-df.atlassian.net/browse/THIN3AGEMNI
Totogi MarketPlace,TMP,https://workstation-df.atlassian.net/browse/TMP
Totogi Professional Services,TOTOGIPS,https://workstation-df.atlassian.net/browse/TOTOGIPS
Tradebeam GTM,TBGTM,https://workstation-df.atlassian.net/browse/TBGTM
TriActive,TRIACTIVE,https://workstation-df.atlassian.net/browse/TRIACTIVE
Vasona Networks,VASNW,https://workstation-df.atlassian.net/browse/VASNW
VD OASIS Appelo,VDOAAPP,https://workstation-df.atlassian.net/browse/VDOAAPP
VD OASIS Betfair,VDOABETFAIR,https://workstation-df.atlassian.net/browse/VDOABETFAIR
VD OASIS Eircom,VDOAEIRCOM,https://workstation-df.atlassian.net/browse/VDOAEIRCOM
VD OASIS Fonecta,VDOAFONEC,https://workstation-df.atlassian.net/browse/VDOAFONEC
VD OASIS Go Car Credit,VDOAGCC,https://workstation-df.atlassian.net/browse/VDOAGCC
VD OASIS Telekom SA,VDOTSA,https://workstation-df.atlassian.net/browse/VDOTSA
Vision,VIS,https://workstation-df.atlassian.net/browse/VIS
VoltDelta - 360 QTel,VD360QTEL,https://workstation-df.atlassian.net/browse/VD360QTEL
VoltDelta 360,VOLTD,https://workstation-df.atlassian.net/browse/VOLTD
WEAKTEST,WEAKTEST,https://workstation-df.atlassian.net/browse/WEAKTEST
XO.Worksmart,XOWS,https://workstation-df.atlassian.net/browse/XOWS
Zephyrtel Professional Services,ZTPS,https://workstation-df.atlassian.net/browse/ZTPS