Key,SaaS Jira Link,BU Jira Link
GFI - MailEssentials,https://trilogy-eng.atlassian.net/browse/GFIME,https://workstation-df.atlassian.net/browse/MEDEV
Verdiem,https://trilogy-eng.atlassian.net/browse/VERD,
OneSCM,https://trilogy-eng.atlassian.net/browse/OSCMENT,https://workstation-df.atlassian.net/browse/OSCMMOL
Jigsaw Interactive,https://trilogy-eng.atlassian.net/browse/JIGSAW,
Learning,https://trilogy-eng.atlassian.net/browse/EDUPF,
Pivotal,https://trilogy-eng.atlassian.net/browse/PIVOTAL,
Jive Cloud,https://trilogy-eng.atlassian.net/browse/JVCLD,https://workstation-df.atlassian.net/browse/JVPROFSVCS
Crossover,https://trilogy-eng.atlassian.net/browse/XO,
Tempo Assembly Lines,https://trilogy-eng.atlassian.net/browse/PULSE,
EPM Live,https://trilogy-eng.atlassian.net/browse/SKYVERA,https://workstation-df.atlassian.net/browse/EPMLCID
Kayako,https://trilogy-eng.atlassian.net/browse/KAYAKO,
CallStream,https://trilogy-eng.atlassian.net/browse/CALLSTRM,https://workstation-df.atlassian.net/browse/CALLSTRM
GFI - Kerio Control,https://trilogy-eng.atlassian.net/browse/CONTROL,https://workstation-df.atlassian.net/browse/CONTROLDEV
CRM,https://trilogy-eng.atlassian.net/browse/CRM,
Prysm,https://trilogy-eng.atlassian.net/browse/PRYDESKCLI,
Tracking,https://trilogy-eng.atlassian.net/browse/EDUMOTIV,
SupportSoft,https://trilogy-eng.atlassian.net/browse/SUPSOFT,
EDI,https://trilogy-eng.atlassian.net/browse/AESEDI,
ResponseTek Telco,https://trilogy-eng.atlassian.net/browse/RESPTK,
Engine Yard,https://trilogy-eng.atlassian.net/browse/EYK,https://workstation-df.atlassian.net/browse/EYPPBU
GFI - Exinda Network Orchestrator,https://trilogy-eng.atlassian.net/browse/EXOS,
Cloud Charging and Billing,https://trilogy-eng.atlassian.net/browse/CLDCB,
Crossover Hiring,https://trilogy-eng.atlassian.net/browse/XO,
Northplains - Xinet,https://trilogy-eng.atlassian.net/browse/XINET,https://workstation-df.atlassian.net/browse/NORTHP
GFI - Archiver,https://trilogy-eng.atlassian.net/browse/GFIA,https://workstation-df.atlassian.net/browse/ARCHIVERDEV
QuickSilver,https://trilogy-eng.atlassian.net/browse/QS,
PeerApp,https://trilogy-eng.atlassian.net/browse/PAUB,
GFI - LanGuard,https://trilogy-eng.atlassian.net/browse/GFIL,https://workstation-df.atlassian.net/browse/LANGUARDDEV
OneSpot,https://trilogy-eng.atlassian.net/browse/ONESPOT,https://workstation-df.atlassian.net/browse/PLOS
Infobright DB,https://trilogy-eng.atlassian.net/browse/INFOBRIGHT,
Knova,https://trilogy-eng.atlassian.net/browse/KNOV,https://workstation-df.atlassian.net/browse/KNOVLG
FirstRain,https://trilogy-eng.atlassian.net/browse/FIRSTRAIN,
ScaleArc,https://trilogy-eng.atlassian.net/browse/SCALEARC,
GFI - FaxMaker Online,https://trilogy-eng.atlassian.net/browse/GFIFMO,
GFI - FaxMaker,https://trilogy-eng.atlassian.net/browse/GFIFM,https://workstation-df.atlassian.net/browse/FAXMAKERDEV
GFI - Kerio Connect,https://trilogy-eng.atlassian.net/browse/CONNECT,https://workstation-df.atlassian.net/browse/CONNECTDEV
SLI Systems,https://trilogy-eng.atlassian.net/browse/SLI,
Monitor,https://trilogy-eng.atlassian.net/browse/ACTA,
Olive Software,https://trilogy-eng.atlassian.net/browse/OLIVES,
Salesbuilder,https://trilogy-eng.atlassian.net/browse/CPQCID,
Lyris LM,https://trilogy-eng.atlassian.net/browse/LLM,
Lyris HQ,https://trilogy-eng.atlassian.net/browse/DEV,
StreetSmart,https://trilogy-eng.atlassian.net/browse/STREETSMART,
Field Force Manager,https://trilogy-eng.atlassian.net/browse/STREETSMART,
Playbooks,https://trilogy-eng.atlassian.net/browse/INSIDESALES,
Bonzai Intranet,https://trilogy-eng.atlassian.net/browse/BOINT,
Kandy,https://trilogy-eng.atlassian.net/browse/KANDY,
ALP,https://trilogy-eng.atlassian.net/browse/ALP,
Kayako Classic,https://trilogy-eng.atlassian.net/browse/KAYAKOC,
Jive HOP,https://trilogy-eng.atlassian.net/browse/JVHOPST,https://workstation-df.atlassian.net/browse/JVPROFSVCS
Mobilogy Now,https://trilogy-eng.atlassian.net/browse/MOBILOGY,
Acorn,https://trilogy-eng.atlassian.net/browse/ACID,
AnswerHub,https://trilogy-eng.atlassian.net/browse/ANSWER,
Central Finance,,https://workstation-df.atlassian.net/browse/CFIN
CSAI,,https://workstation-df.atlassian.net/browse/CSAI
NewNet,,https://workstation-df.atlassian.net/browse/NN
ObjectStore,,https://workstation-df.atlassian.net/browse/OSCID
Computron,,https://workstation-df.atlassian.net/browse/COMP